round_name,heat_id,heat_name,competition_competitor_id,bib_number,starting_position,final_rank,final_result,final_points,result_status,qualification_code,record_flag,num_laps,json_source
Preliminaries,88de5ae5-289e-4340-a9b4-4190065dfcc2,Heat 6,8c4b0fed-35c0-4465-8de1-146367c4af73,110,2,,PEN,,Penalty,,,0,seoul_man
Preliminaries,f2811794-4016-4e42-aefb-fb55f427c33e,Heat 7,5445c3b6-260c-4627-aff7-5c87accb1e3c,34,5,1.0,42.452,,,Q,,5,seoul_man
Preliminaries,f2811794-4016-4e42-aefb-fb55f427c33e,Heat 7,01e4dcbf-164f-4a97-aef5-3587d81e1998,83,2,2.0,42.570,,,q,,5,seoul_man
Preliminaries,f2811794-4016-4e42-aefb-fb55f427c33e,Heat 7,07b07e7b-b516-4d77-a204-91e3c504c294,69,1,3.0,42.638,,,,,5,seoul_man
Preliminaries,f2811794-4016-4e42-aefb-fb55f427c33e,Heat 7,2e32c658-7255-4a74-aa1e-3555a22db580,91,4,4.0,42.984,,,,,5,seoul_man
Preliminaries,f2811794-4016-4e42-aefb-fb55f427c33e,Heat 7,a069c448-0fa1-471c-b30b-4f87ba4fa44d,109,3,5.0,43.553,,,,,5,seoul_man
Preliminaries,d213a244-f6be-4a12-a620-65f0854e7439,Heat 8,8d006479-00dc-4baa-82af-354a2f3f26b3,37,1,1.0,42.016,,,Q,,5,seoul_man
Preliminaries,d213a244-f6be-4a12-a620-65f0854e7439,Heat 8,4db2541f-8c53-49cb-af7d-ff587761fd00,58,2,2.0,42.086,,,q,,5,seoul_man
Preliminaries,d213a244-f6be-4a12-a620-65f0854e7439,Heat 8,d39dfaf3-6fb7-43e7-ae32-cddce46b22e4,107,4,3.0,42.276,,,,,5,seoul_man
Preliminaries,d213a244-f6be-4a12-a620-65f0854e7439,Heat 8,b510697a-fcd6-4c6b-9740-3cc6dbf57105,162,5,4.0,43.419,,,,,5,seoul_man
Preliminaries,d213a244-f6be-4a12-a620-65f0854e7439,Heat 8,6ee4046c-f05f-4895-b0fe-77c5dc78f644,164,3,5.0,46.323,,,,,5,seoul_man
Preliminaries,4b48e988-a6df-4bed-8168-8e027e1c2d8f,Heat 9,29659c64-b0e6-4e52-8121-665fcca355d7,98,1,1.0,42.394,,,Q,,5,seoul_man
Preliminaries,4b48e988-a6df-4bed-8168-8e027e1c2d8f,Heat 9,d0aa76b3-ea67-499e-84fb-50b0420310e6,138,2,2.0,42.491,,,q,,5,seoul_man
Preliminaries,4b48e988-a6df-4bed-8168-8e027e1c2d8f,Heat 9,4ddfb510-ee35-4c1b-a0c1-f7ba7a228594,55,4,3.0,42.897,,,,,5,seoul_man
Preliminaries,4b48e988-a6df-4bed-8168-8e027e1c2d8f,Heat 9,50258917-cf59-4b67-8059-e8a94708cf33,163,5,4.0,43.432,,,,,5,seoul_man
Preliminaries,4b48e988-a6df-4bed-8168-8e027e1c2d8f,Heat 9,b970ce3d-6bfd-4007-a836-19d13fca9c9d,65,3,5.0,no time,,,,,3,seoul_man
Preliminaries,a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,Heat 10,db9e00f8-3eb5-458a-b8d1-21582b6838a9,27,2,1.0,42.087,,,Q,,5,seoul_man
Preliminaries,a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,Heat 10,28a5fc1f-30c5-4a95-b82b-6c6fe56c6b70,135,4,2.0,43.107,,,,,5,seoul_man
Preliminaries,a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,Heat 10,bd75d3d0-bab6-4daa-90ea-0f246ac1dd2f,82,3,3.0,43.623,,,,,5,seoul_man
Preliminaries,a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,Heat 10,b175d978-795a-464a-b6ba-68e8d3edec0a,85,1,4.0,43.744,,,,,5,seoul_man
Preliminaries,a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,Heat 10,530dda22-2d58-4a73-8a5f-be5ed4d3c203,150,5,5.0,44.390,,,,,5,seoul_man
Preliminaries,18e0d66c-9543-47d5-9d2d-9d53132ae31d,Heat 11,7b9d12ae-44ce-4fb8-8e3e-b2bb8ee3c63c,60,1,1.0,43.047,,,Q,,5,seoul_man
Preliminaries,18e0d66c-9543-47d5-9d2d-9d53132ae31d,Heat 11,05c24d5b-7213-468e-ac28-c431740f44ff,113,3,2.0,43.201,,,,,5,seoul_man
Preliminaries,18e0d66c-9543-47d5-9d2d-9d53132ae31d,Heat 11,270ef03a-79ea-488d-8444-5d8af2e4c06c,87,2,3.0,43.456,,,,,5,seoul_man
Preliminaries,18e0d66c-9543-47d5-9d2d-9d53132ae31d,Heat 11,4a9f8b2e-e3fa-4305-b1f6-df066c32d3c2,121,4,4.0,no time,,,,,3,seoul_man
