round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,a0337d9b-d1ea-42e6-b9b3-ac83e0e11cd8,59,5,1,9.799,45.319,0.000,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,216b5d89-848a-4830-9fe3-2fba1e366969,39,1,4,7.930,7.930,+0.600,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,216b5d89-848a-4830-9fe3-2fba1e366969,39,2,4,9.540,17.470,+0.600,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,216b5d89-848a-4830-9fe3-2fba1e366969,39,3,4,9.160,26.630,+0.520,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,216b5d89-848a-4830-9fe3-2fba1e366969,39,4,4,9.300,35.930,+0.410,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,216b5d89-848a-4830-9fe3-2fba1e366969,39,5,2,9.502,45.432,+0.113,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,0ed93a45-a373-484c-a61b-061e55ce2e53,60,1,2,7.610,7.610,+0.280,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,0ed93a45-a373-484c-a61b-061e55ce2e53,60,2,2,9.650,17.260,+0.390,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,0ed93a45-a373-484c-a61b-061e55ce2e53,60,3,2,9.120,26.380,+0.270,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,0ed93a45-a373-484c-a61b-061e55ce2e53,60,4,2,9.310,35.690,+0.170,seoul_woman
